Country,Continent,Capital City,Abbreviation,Fact 1,Fact 1 Source,Fact 2,Fact 2 Source,Fact 3,Fact 3 Source,Fact 4,Fact 4 Source,Fact 5,Fact 5 Source,Fact 6,Fact 6 Source,Fact 7,Fact 7 Source,Fact 8,Fact 8 Source,Fact 9,Fact 9 Source,Fact 10,Fact 10 Source
Afghanistan,Asia,Kabul,AFG,,,,,,,,,,,,,,,,,,,,
Albania,Europe,Tirana,ALB,,,,,,,,,,,,,,,,,,,,
Algeria,Africa,Algiers,DZA,,,,,,,,,,,,,,,,,,,,
Andorra,Europe,Andorra la Vella,AND,,,,,,,,,,,,,,,,,,,,
Angola,Africa,Luanda,AGO,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,N. America,St. John's,ATG,,,,,,,,,,,,,,,,,,,,
Argentina,S. America,Buenos Aires,ARG,,,,,,,,,,,,,,,,,,,,
Armenia,Asia,Yerevan,ARM,,,,,,,,,,,,,,,,,,,,
Australia,Australia,Canberra,AUS,,,,,,,,,,,,,,,,,,,,
Austria,Europe,Vienna,AUT,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Asia,Baku,AZE,,,,,,,,,,,,,,,,,,,,
Bahamas,N. America,Nassau,BHS,"This tropical nation is composed of over 700 islands and more than 2,400 tiny cays, most of which are formed of limestone and coral.",https://en.wikipedia.org/wiki/The_Bahamas,"The country boasts the world’s third-largest barrier reef system, along with mysterious blue holes—rare underwater sinkholes that reveal a unique marine geology.",https://en.wikipedia.org/wiki/Andros_Island,"Known as a global offshore financial hub, this island nation offers policies like zero personal and corporate income taxes, attracting international investors.",https://www.cia.gov/the-world-factbook/countries/bahamas-the/,"Gaining independence in the early 1970s from a long-term colonial power, this country now operates as a parliamentary democracy that blends its colonial heritage with local customs.",https://en.wikipedia.org/wiki/Independence_of_the_Bahamas,"The islands are the exclusive habitat of a distinctive reptile—the rock iguana—a species found only on a few of these isles, underscoring its unique local biodiversity.",https://www.cia.gov/the-world-factbook/countries/bahamas-the/,"Off the coast of one of its islands lies an enigmatic arrangement of large limestone blocks, set out in a linear formation beneath the sea. This odd underwater ""road"" has sparked theories about ancient civilizations or even connections to lost continents.",https://en.wikipedia.org/wiki/Bimini_Road,"During the U.S. Prohibition era, this archipelago’s strategic location made it a crucial transit route for bootleg liquor. The legacy of rum-running along its shores has woven a colorful and clandestine chapter into its maritime history.",https://www.grandbahamamuseum.org/exhibits/culture/bootlegging-and-rum-running,"Nestled among its secluded cays, this nation shelters an endemic rodent—a small mammal once believed to be extinct. Its survival in such isolated habitats underscores the unique and fragile ecosystem found only here.",https://en.wikipedia.org/wiki/Bahamian_hutia,"In its capital, an 18th-century staircase—carved from solid limestone by enslaved labor—rises as a striking monument. This historic landmark not only reflects the nation’s colonial past but also symbolizes resilience and cultural heritage.",https://en.wikipedia.org/wiki/Queen%27s_Staircase,"This island nation spans over 700 islands but has a population of only about 400,000, making its communities quite small. An interesting local law even bans civilians from wearing military camouflage to keep a clear distinction with uniformed personnel.",https://www.cia.gov/the-world-factbook/countries/bahamas-the/
Bahrain,Asia,Manama,BHR,,,,,,,,,,,,,,,,,,,,
Bangladesh,Asia,Dhaka,BGD,,,,,,,,,,,,,,,,,,,,
Barbados,N. America,Bridgetown,BRB,,,,,,,,,,,,,,,,,,,,
Belarus,Europe,Minsk,BLR,,,,,,,,,,,,,,,,,,,,
Belgium,Europe,Brussels,BEL,,,,,,,,,,,,,,,,,,,,
Belize,N. America,Belmopan,BLZ,,,,,,,,,,,,,,,,,,,,
Benin,Africa,Porto-Novo,BEN,,,,,,,,,,,,,,,,,,,,
Bhutan,Asia,Thimphu,BTN,,,,,,,,,,,,,,,,,,,,
Bolivia,S. America,La Paz,BOL,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Europe,Sarajevo,BIH,,,,,,,,,,,,,,,,,,,,
Botswana,Africa,Gaborone,BWA,,,,,,,,,,,,,,,,,,,,
Brazil,S. America,Brasília,BRA,,,,,,,,,,,,,,,,,,,,
Brunei,Asia,Bandar Seri Begawan,BRN,,,,,,,,,,,,,,,,,,,,
Bulgaria,Europe,Sofia,BGR,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Africa,Ouagadougou,BFA,,,,,,,,,,,,,,,,,,,,
Burundi,Africa,Gitega,BDI,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Africa,Praia,CPV,,,,,,,,,,,,,,,,,,,,
Cambodia,Asia,Phnom Penh,KHM,,,,,,,,,,,,,,,,,,,,
Cameroon,Africa,Yaoundé,CMR,,,,,,,,,,,,,,,,,,,,
Canada,N. America,Ottawa,CAN,,,,,,,,,,,,,,,,,,,,
Central African Republic,Africa,Bangui,CAF,,,,,,,,,,,,,,,,,,,,
Chad,Africa,N'Djamena,TCD,,,,,,,,,,,,,,,,,,,,
